1,4,0.66,0.72
1,6,0.58,0.65
1,10,0.52,0.58
1,20,0.44,0.5
1,40,0.38,0.44
1,60,0.36,0.42
1,100,0.33,0.39
2,4,0.76,0.8
2,6,0.71,0.75
2,10,0.66,0.71
2,20,0.61,0.66
2,40,0.55,0.61
2,60,0.52,0.58
2,100,0.49,0.55
3,4,0.84,0.86
3,6,0.78,0.82
3,10,0.74,0.78
3,20,0.68,0.73
3,40,0.64,0.69
3,60,0.62,0.67
3,100,0.59,0.65
